,fuente,titulo,descripcion,title,description,experiencia_min_anios,nivel_educativo,idioma_principal,skills_tecnicas_list,soft_skills_list
17,indeed,,,Tecnico de Querellas y Apelaciones,"**Tecnico de Querellas y Apelaciones**

  

Regular


Non\-Exempt

 **GENERAL DESCRIPTION:**


Receive the Grievances, Pre\-Service Appeals, Post Service Appeals, Disputes, Payment Appeals and Administrative Organizational Determinations (AOD) filed by Providers and members, as applicable. Responsible for assigning cases to Grievances and Appeals Specialists in accordance with established time frames.

**ESSENTIAL FUNCTIONS:**

* Categorizes and register in the electronic platforms, Beacon Healthcare System or TruCare, the grievances and pre\-service or post\-service appeals received through various sources, as: MCS Service Centers, MCS Call Center, fax, Ethic Points, postal mail, others, for both Line of Business, MCS Life and MCS Classicare.
* Registers the grievances received from the Office of the Patient Advocate and the Late Enrolment Penalty(LEP) Reconsiderations in Beacon Healthcare System.
* Coordinates calls to members, Providers or MCS staff (including emails) if required to validate the allegations on grievances and/or appeals, for proper categorization and referral in accordance with Regulation:


o If the allegation represents more than one issue, proceeds to register the grievances separately according to the category, based on the Regulation and Policies \& Procedures of the MCS Grievances \& Appeals Unit.

* Receives calls from members and/or Providers and refers them according to procedure.
* Responsible for handling calls received through the TTY delegated electronic line (telephone line for hearing impaired persons).
* Validates in the eligibility system the contract of the member involved in the case and print out the screen with detail of eligibility dates and address, and proceed to attach to the file in Beacon:


o Validates cases in: PMHS, TruCare, NetClaims, Medhok, Applica, and others.

* Assigns grievances, pre\-service appeals or post service appeals to Grievance \& Appeals Specialists or G\&A Senior Specialists


If required, provide data for Grievances and Appeals reports in compliance with timeframes and as required by Regulatory Agencies and/or other Departments or Units of MCS.* In conjunction with C\&A Team Leader manages the filter of Grievances, Appeals and AOD's received in the Unit for to safeguard that all cases are properly identified, analyze, register, and assigned, as applicable.
* Provides support in the mailing process to members and/or Providers, as needed and to comply with regulatory timeframes.
* Prepares and mails to members or Providers the Acknowledgment Notice, the Request for AOR Form Notice or Withdrawal Notice.
* Must comply fully and consistently with all company policies and procedures, with local and federal laws as well as with the regulations applicable to our Industry, to maintain appropriate business and employment practices.
* May carry out other duties and responsibilities as assigned, according to the requirements of education and experience contained in this document

**MINIMUM QUALIFICATIONS:**

**Education and Experience:** Minimum 60 college degree credits equivalent to two (2\) years of studies or Associate's Degree. Minimum of one (1\) year of experience in auditing, research, and/or customer/provider service.

**Certifications/Licenses:** N/A

**Other:** Knowledge of PMHS, Front End, Grievance and Appeals, preferable.

**Languages:**  

**Spanish** Intermediate (writing, conversation, and comprehension)


**English** Intermediate (writing, conversation, and comprehension)

 **“Somos un patrono con igualdad de oportunidad en el empleo y tomamos Acción Afirmativa para reclutar a Mujeres, Minorías, Veteranos Protegidos y Personas con Impedimento**”",5.0,terciario,ingles,['office'],
265,indeed,,,IT Help Desk (Bilingual),"**Salario: $11\.25**

**Pueblo: San Juan (Cupey)**

**Requisitos:** 

* Estudios universitarios completados
* Manejo de sistemas de computadoras (tech\-savvy), entrada de datos
* Experiencia en servicio al cliente
* Completamente bilingüe (inglés \- español)
* Excelentes habilidades de comunicación y de trabajo en equipo.

**Responsabilidades:** 

* Analizar y dar solución o servicio a todas las solicitudes, consultas técnicas, incidencias y reclamaciones de acuerdo con los estándares de calidad y servicio.
* Registrar, documentar, y dar seguimiento a las consultas incidencias y reclamos, su avance y soluciones en sistema automatizado.
* Realizar mantenimiento de las aplicaciones de la plataforma de los clientes.

**Patrono con igualdad de oportunidades en el empleo \*\*EEO\*\***  
**Equality Employment Opportunity \*\*EEO\*\* Affirmative Action for Minorities/Females/ Veterans/ People with disabilities. Employer with E\-Verify to verify the elegibility of employment of all the new employees.**  
**We encourage Females, Veterans and Disabled to Apply.**

Job Types: Full\-time, Contract

Pay: $11\.25 per hour

Work Location: In person",,,ingles,,"['comunicación', 'trabajo en equipo']"
66,indeed,,,Part-Time Assistant Manager - Level 2,"At BoxLunch, we’re committed using our love of pop culture to do something amazing: eliminate hunger. With every $10 spent, we donate a meal to Feeding America that directly benefits the communities we are in.

We’re on the search for a Part\-Time Assistant Manager – Level 2 that will help lead our civic minded, pop culture driven brand. You’ll support the Store Manager in achieving store objectives with regards to hitting sales targets, recruiting, and development. You’re Harry Potter and Luke Skywalker rolled into one; you can handle anything that comes your way while driving sales and building lifelong relationships with our customers.
### **WHAT YOU'LL DO**

* Support your Store Manager in achieving the sales plan and/or comp sales goals. It’s not all about the Benjamins, but then it kind of is
* Help recruit, develop, and retain a super collaborative, passionate team to run your store alongside you
* You’re the store’s \#1 fan – you’ll create buzz and customer engagement through promotion of new products, use social media platforms, and additional benefits such as BOPIS and curbside pickup
* Provide leadership around running an operationally sound business; you’ll bring the right balance of ops, delegation/autonomy, and customer\-first selling practices
* Keep watch (like the Night’s Watch) on shrink/loss prevention, payroll hours, and associate schedules
* Collaboratively communicate with retail leadership and HQ partners on trends \& customer feedback
* Run sales reports and use data to help guide your strategy to hit sales targets
* You’ll merchandise the store in a compelling way, leveraging planograms as a guide, while launching all promos on time. In short, you’ll deliver the goods!
* Every Frodo needs a Fellowship! In partnership with your Store Manager, you’ll develop your team of loyal associates that are high\-performing and customer\-focused

### **WHAT YOU'LL NEED**

* At least 1\-2 years of retail store management experience. If you’re passionate about philanthropy \& all things pop culture, you're in the right place!
* You’ve led teams to success and want to experience more of it. You’ll have skills to pay the bills: communication, recruiting, operations (payroll, reporting, scheduling, merchandising), and be a developer of your peeps
* You have Avenger\-like skills: communication, time management, professionalism, operations, and a drive to develop your peeps
* You'll have to be at least 18 years of age to join the fandom force
* A high school diploma or GED equivalent. If you have a degree, even better
* Roll with the punches. Retail is a fast\-changing industry and you like catching curveballs thrown your way
* The usual retail stuff (with or without reasonable accommodation): able to navigate your way around the store, merchandise product utilizing approved store equipment, and pack and unpack boxes of awesome merch that may weigh up to 50 pounds",18.0,secundario,,['teams'],"['management', 'time management']"
208,indeed,,,Gerente de Operaciones - Field,"**Descripción de Puesto**

 **Puesto:** **Gerente de Operaciones de Field** **Clasificación:** **Exento**

 **Supervisor Inmediato:** **Dueños (CEO)** **Fecha revisión:** **febrero 2025**

 **Descripción General**

  

Gerente de Operaciones de Field es responsable de liderar y supervisar las operaciones de campo en H\&H Solar, asegurando la eficiencia y calidad en la instalación y mantenimiento de sistemas solares. Este puesto coordina los equipos de compras e inventario, brigadas de instalación, servicios técnicos y control de calidad, garantizando que los proyectos se completen dentro del tiempo y presupuesto establecidos, cumpliendo con los estándares de seguridad y calidad.

 **Funciones Medulares**

* **Supervisión y Gestión Estratégica:**

  

* Dirigir y supervisar al personal bajo su cargo, asegurando que cada área funcione de manera eficiente.
* Proveer dirección y apoyo a los coordinadores, supervisores y cualquier empleado bajo su cargo, para optimizar la ejecución de sus responsabilidades.
* Monitorear los indicadores (KPI’s) de desempeño de cada equipo y realizar ajustes operativos según sea necesario.
* **Gestión de Operaciones de ‘field”:**

  

* Asegurar la correcta planificación y distribución de los recursos en las instalaciones y servicios técnicos.
* Coordinar con los líderes de cada área la ejecución de proyectos de instalación y mantenimiento.
* Supervisar la logística de las brigadas para cumplir con los plazos y objetivos establecidos.
* **Supervisión del Cumplimiento de Calidad y Seguridad:**

  

* Asegurar el cumplimiento de los estándares de calidad en cada instalación a través del Técnico de Control de Calidad.
* Implementar estrategias para mejorar los procesos de instalación y mantenimiento.
* Supervisar que los protocolos de seguridad sean aplicados correctamente en cada área de trabajo.
* **Optimización de Inventarios y Compras:**

  

* Trabajar con el Coordinador de Compras e Inventario para garantizar la disponibilidad de materiales.
* Analizar costos y eficiencia en la adquisición de insumos y equipos.
* Implementar estrategias para minimizar desperdicios y optimizar el uso de recursos.
* **Coordinación con Áreas Administrativas y Estratégicas:**

  

* Colaborar con los departamentos de ventas, administración
* y servicio al cliente para garantizar el cumplimiento de las expectativas de los clientes.
* Mantener comunicación con la gerencia para informar sobre avances, desafíos y mejoras en las operaciones.
* Asegurar la correcta documentación y cierre de proyectos en conjunto con el equipo administrativo.
* **Análisis de Rendimiento y Mejora Continua:**

  

* Evaluar métricas de desempeño de los coordinadores y sus respectivos equipos.
* Identificar oportunidades de mejora en procesos operativos para optimizar tiempos y costos.
* Implementar estrategias de eficiencia operativa y reducción de desperdicios o material devuelto.
* **Manejo de Presupuestos y Costos Operativos:**

  

* Controlar los costos de operación en las instalaciones y asegurar que se mantengan dentro del presupuesto.
* Aprobar órdenes de compra y verificar costos de materiales y equipos.
* Optimizar la asignación de recursos para mejorar la rentabilidad de la operación.
* **Manejo de Reportes y Presupuestos:**

  

* Elaborar reportes sobre el estado de las operaciones, desempeño del personal y uso de materiales.
* Controlar los costos operativos y asegurar el cumplimiento del presupuesto asignado.
* **Coordinación con Otras Áreas de la Empresa:**

  

* Colaborar con los departamentos de ventas, oficina (administrativa) y servicio al cliente para garantizar la correcta planificación y ejecución de proyectos.
* Asegurar la correcta documentación y cierre de proyectos en conjunto con el equipo administrativo.
**Requisitos:*** Bachillerato en Ingenieria Electrica o àrea realacionada.
* Experiencia previa en gestión de operaciones en el sector solar, eléctrico o construcción.
* Conocimiento en instalaciones fotovoltaicas, eléctricas y regulaciones de seguridad.
* Experiencia en liderazgo y supervisión de equipos de trabajo en campo.
* Habilidad para la gestión de inventarios y control de costos operativos.
* Excelentes habilidades de comunicación, negociación y resolución de problemas.
* Dominio de herramientas digitales y software de gestión de proyectos.
* Disponibilidad para supervisar operaciones en diferentes ubicaciones y atender imprevistos en campo.

 **Habilidades y Competencias:**

* **Liderazgo y Gestión de Equipos:**

  

* + Habilidad para motivar y dirigir equipos de trabajo.
	+ Capacidad para delegar tareas y optimizar el rendimiento del equipo.

* **Organización y Planificación:**

  

* + Capacidad para coordinar múltiples proyectos y gestionar tiempos de entrega.
	+ Habilidad para priorizar tareas y optimizar el uso de recursos.

* **Resolución de Problemas y Toma de Decisiones:**

  

* + Capacidad para resolver imprevistos en el campo de manera efectiva y rápida.
	+ Habilidad para tomar decisiones estratégicas en base a datos operativos.

* **Comunicación y Negociación:**

  

* + Habilidad para coordinar con diferentes departamentos y niveles de la empresa.
	+ Capacidad de negociación con proveedores y contratistas para optimizar costos.

* **Análisis y Mejora Continua:**

  

* + Capacidad para evaluar el desempeño de los equipos y proponer mejoras operativas.
	+ Habilidad para implementar estrategias de eficiencia y optimización de procesos.

* **Adaptabilidad y Trabajo bajo Presión:**

  

* + Capacidad para gestionar múltiples tareas en un entorno dinámico y de alta demanda.
	+ Flexibilidad para atender emergencias operativas y ajustar planes según sea necesario.

* **Orientación a Resultados y Calidad:**

  

* + Enfoque en la eficiencia, cumplimiento de tiempos y optimización de costos.
	+ Compromiso con los estándares de calidad y seguridad en cada proyecto.

 **Demandas Físicas**

  

* Capacidad para mantenerse en posiciones estacionarias un 90% de tiempo (sentado, y/o parado).
* Capacidad para caminar, sentarse, subir o escalar y mantenerse parado.
* Capacidad para moverse frecuentemente por el proyecto caminando largas distancias.
* Capacidad para realizar movimientos fuertes (Cargas de 50 libras o menos)
* Capacidad para procesar visualmente escritos y otros materiales.
	+ Trabajo en exteriores bajo altas temperaturas y bajo el sol por periodos prolongados de tiempo.
	+ Capacidad para manejar equipos electrónicos pequeños (fax, computadora, teléfono)
	+ Capacidad para conducir vehículos de motor.

 **Nada en esta descripción del trabajo restringe el derecho de la administración de asignar o reasignar funciones y responsabilidades para este trabajo en cualquier momento.**

**Este documento está sujeto a cambios en cualquier momento.**",,universitario,,,"['comunicación', 'liderazgo', 'lider', 'líder', 'gestión de equipos', 'resolución de problemas', 'adaptabilidad', 'flexibilidad', 'organización', 'planificación', 'orientación a resultados']"
480,bumeran,Asistente de Marketing Digital y Ventas - Zona Ciudadela,"Para nuestro cliente, una empresa pyme fabricante y comercializadora de pisos y revestimientos de homigón, ubicada en Ciudadela, nos encontramos en la búsqueda de Estudiantes de la carrera de Marketing para la gestión y análisis de campañas de marketing digital.Llevará adelante la coordinación de la recepción de leads provenientes de nuestras campañas online, y para analizar el rendimiento de las mismas. Será el nexo entre los equipos de contenido, publicidad y dirección, brindando reportes mensuales y recomendaciones estratégicas.Requisitos del Puesto: Experiencia en marketing digital, análisis de datos y gestión de CRM. Conocimientos de herramientas como Google Analytics, plataformas de publicidad online, y herramientas de reporting. Habilidad para tomar decisiones estratégicas basadas en datos y comunicar resultados de forma clara.Horario de trabajo: Lunes a Viernes de 8 a 1 2 y de 1 3 a 1 7 hs Zona de trabajo: Ciudadela Modalidad: Presencial Modalidad de contratación: relación de dependencia",,,,,,['crm'],
94,indeed,,,Semi-Senior Auditor,"Are you ready to take the next step in your auditing career? We’re looking for a proactive and detail\-oriented Semi Senior Auditor to join our client´s growing team. If you thrive in a dynamic environment and enjoy leading audit processes, this role is for you.

**Key Responsibilities:**

* Assist in planning audit engagements to ensure timely execution in line with agreed timelines.
* Collect and organize all necessary documentation in accordance with internal methodologies to ensure accurate client records.
* Supervise junior audit staff, ensuring adherence to firm procedures and quality standards.
* Monitor time budgets and staff hours to ensure alignment with client agreements.
* Provide timely and constructive feedback to team members to support their professional development.
* Communicate technical issues or potential challenges to Seniors or Managers to maintain workflow efficiency.

**Qualifications:**

* Bachelor's degree in Accounting
* Fluent in English
* Proficiency in accounting software and financial management tools
* Experience in financial auditing and internal audits
* Excellent analytical skills and financial report writing abilities

Job Type: Full\-time

Pay: $45,000\.00 \- $50,000\.00 per year

Benefits:

* Dental insurance
* Health insurance
* Paid time off
* Parental leave
* Vision insurance

Work Location: In person",5.0,universitario,ingles,,['management']
253,indeed,,,Housekeeping Coordinator - Condado Vanderbilt Hotel,"Descripción general:

The Condado Collection es una colección de propiedades de hospitalidad en Puerto Rico, desde hoteles de lujo clásico y moderno, hasta restaurantes y entretenimiento.
Condado Ocean Club es un oasis moderno en el corazón de la ciudad. Es un club para todos los que valoran las experiencias únicas y conexiones culturales inspiradas en viajar. Nuestro objetivo es crear experiencias e inspirar travesías no solo para nuestros huéspedes, sino también nuestra fuerza laboral. Confiamos que los integrantes de nuestro equipo son la clave para brindar un servicio apasionado y auténtico. ¡Construyamos juntos una colección de recuerdos!
Responsabilidades Claves:
* Asistir al Director de Housekeeping y al equipo de supervisores de forma agil en las tareas administrativas relacionadas con el departamento de limpieza.
* Administrar la política de Objetos Perdidos.
* Preparar el informe de habitaciones vacías y sucias (Vacant Dirty Report).
* Anticipar y comunicar las necesidades de reposición de suministros.
* Asegurar el cumplimiento de los estándares y expectativas de calidad.
* Tener conocimiento sobre las operaciones diarias del hotel, revisar las hojas de eventos del día, los tablones de anuncios y estar al tanto de todos los cambios, nuevos procedimientos y eventos.
* Cumplir con todas las políticas y procedimientos de seguridad de la empresa; reportar accidentes, lesiones o condiciones laborales inseguras al supervisor.
* Completar las capacitaciones y certificaciones de seguridad requeridas.
* Fomentar y mantener relaciones laborales positivas con los demás, apoyando al equipo para alcanzar metas comunes.
* Asegurar que el uniforme y la apariencia personal estén siempre limpios y profesionales.
* Mantener la confidencialidad de la información propietaria.
* Realizar otras funciones razonables que sean asignadas por los supervisores.


Cualificaciones:
* Orientado a la hospitalidad.
* Conocimiento del programa HotSOS, preferiblemente.
* Capacidad para agacharse, estirarse, ponerse en cuclillas y levantar objetos de hasta 50 libras.
* Capacidad para manejar situaciones difíciles de manera efectiva.
* Excelentes habilidades de comunicación.
* Conocimiento de Microsoft Office.
* Disposición para realizar tareas básicas de limpieza.
* Disponibilidad para trabajar en horarios flexibles, incluyendo noches, fines de semana y días festivos.
* Totalmente bilingüe (español e inglés)

  

Beneficios* Plan 401(k)
* Aportación Patronal al 401(k)
* Seguro Médico
* Seguro de Visión
* Seguro Dental
* Días Festivos Pagados
* Descuento para Empleados

*The Condado Collection es un empleador que ofrece igualdad de oportunidades. Creemos en contratar una fuerza laboral diversa y mantener una cultura inclusiva y centrada en las personas. Estamos comprometidos con la no discriminación por cualquier motivo protegido, como discapacidad y estatus de veterano, o cualquier otro motivo cubierto por la ley aplicable.*",,,ingles,"['office', 'microsoft office']","['comunicación', 'flexible']"
266,indeed,,,Representante de Ventas - Hatillo,"**Representante de Ventas (Comisión Sin Límite)**

¿Te apasionan las ventas y el contacto directo con clientes? En **Universal Solar**, empresa líder en soluciones de energía solar y almacenamiento de agua, estamos buscando **vendedores dinámicos y proactivos** para promover nuestros productos en nuestros puntos de venta.

**Responsabilidades**

* Promocionar calentadores solares, cisternas y sistemas de purificación de agua.
* Atender clientes y brindar asesoría personalizada.
* Cumplir metas de ventas mensuales.
* Reportar actividades y resultados al supervisor.
* Usar plataformas CRM para registrar oportunidades, seguimientos y clientes.
* Participar en capacitaciones sobre productos y técnicas de venta.

**Requisitos**

* Experiencia en ventas (preferible en productos similares o retail).
* Excelente actitud y habilidades de comunicación..
* Conocimiento básico en energía solar y sistemas de agua (deseable).
* Dominio de plataformas CRM (Odoo)
* Puntualidad y compromiso.

**Ofrecemos**

* Comisiones atractivas.
* Capacitación continua.
* Oportunidad de crecimiento dentro de la empresa.
* Ambiente laboral profesional y motivador.

Tipo de puesto: Tiempo completo, Medio tiempo, Comisión

Sueldo: $40,000\.00 \- $135,000\.00 al año

Lugar de trabajo: Viajar de manera regular",,,,['crm'],"['comunicación', 'líder', 'proactivo']"
23,indeed,,,Guardia de Seguridad Control de Acceso,"Guardia de Seguridad Control de Acceso

**Overview**
------------

**Company Overview:**

  

Allied Universal®, North America's leading security and facility services company, offers rewarding careers that provide you a sense of purpose. While working in a dynamic, welcoming, and collaborative workplace, you will be part of a team that contributes to a culture that positively impacts the communities and customers we serve. We offer a comprehensive benefits package that may include medical, dental, and vision coverage, life insurance, a retirement plan, employee assistance programs, company discounts, and other perks, depending on the position and eligibility.

  



**Job Description:**


**Job Description**
-------------------


Como Oficial de Seguridad \- Puerto Rico, brindar seguridad a una variedad de industrias, como fabricas comercio minorista (tiendas), centros comerciales, farmacéuticas, campus corporativos y más de 400 compañías Fortune 500\.


**Ventajas y beneficios:**

* Horarios flexibles a tiempo parcial y a tiempo completo que se ajustan a sus objetivos personales de vida
* Programas de capacitación remunerados continuos y oportunidades de crecimiento profesional
* Plan 401 K según requisitos de elegibilidad
* Descuentos para empleados a través de nuestro programa de beneficios en sus restaurantes favoritos, lugares de entretenimiento y mucho más...

**Pago por hora: $11\.00**


**Requisitos mínimos:**


* Tener al menos 21 años de edad para roles desarmados
* Poseer un diploma de escuela secundaria o equivalente, o 5 años de experiencia comprobable
* Disponibilidad rotativa en horarios e itineraries semanales.
* Ser fluido en idioma hablado y escrito en español e inglés. \* Se requerirá en puestos bilingües el idioma inglés.
* Como condición de empleo, los solicitantes estarán sujetos a una investigación de antecedentes de acuerdo con todas las leyes federales, estatales y locales. Allied Universal considerará las solicitudes calificadas con antecedentes penales de manera consistente con las leyes aplicables.
* Como condición de empleo, los solicitantes estarán sujetos a una prueba de detección de drogas en la medida permitida por la ley.
* Los requisitos de licencia están sujetos a las leyes y regulaciones estatales y/o locales y pueden ser necesarios antes del empleo. \*Se requerirá una licencia de conducir válida de la jurisdicción de Puerto Rico
* Poseer destrezas de servicio al cliente.

**Responsabilidades:**

* Proporcionar servicio al cliente a nuestros clientes mediante la realización de procedimientos de seguridad y protección, políticas específicas del sitio y, cuando corresponda, actividades de respuesta a emergencias.
* Responder a incidentes y situaciones críticas con calma y resolución de problemas
* Realice patrullajes regulares y aleatorios alrededor del negocio y el perímetro. Los entornos y condiciones de trabajo pueden variar según el sitio del cliente.
* Recibir y canalizar procesos en área de recepción de empleados y/o visitantes acorde a las normas del establecimiento y las órdenes de puesto asignadas.


Allied Universal® es un patrono con igualdad de oportunidades. Todos los candidatos cualificados serán considerados para empleo sin mediar la raza/etnia, edad, color de piel, religión, sexo, identidad de género, orientación sexual, origen nacional, información genética, incapacidad, estado protegido para veteranos o relación u asociación con veterano protegido, u otra característica protegida por ley. Para más información: www.aus.com Para cualquier pregunta relacionada a Igualdad Oportunidad de Empleo, Acción Afirmativa, Diversidad e Inclusión, tiene dificultad usando nuestro sistema en línea/electrónico y requiere de un método alterno para solicitar, o requiere especial acomodo durante el reclutamiento y/o proceso de empleo, favor de contactar al Departamento de Recursos Humanos. Para encontrar una oficina cerca de usted, favor de visitar: www.aus.com/offices.

**Closing**
-----------


Allied Universal® is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race/ethnicity, age, color, religion, sex, sexual orientation, gender identity, national origin, genetic information, disability, protected veteran status or relationship/association with a protected veteran, or any other basis or characteristic protected by law. For more information: www.aus.com

  



If you have any questions regarding Equal Employment Opportunity, have difficulty using the online system and require an alternate method to apply, or require an accommodation at any time during the recruitment and/or employment process, please contact our local Human Resources department. To find an office near you, please visit: www.aus.com/offices.

**Requisition ID**
------------------

  

2025\-1449115",21.0,,ingles,['office'],"['resolución de problemas', 'flexible']"
222,indeed,,,ASSISTANT MANAGER,"* Asiste en las operaciones de día a día de la tienda.
* Supervisa, adiestra y evalúa los empleados a su cargo.
* Responsable por las ganancias, gastos, dinero en efectivo, inventario y compras de la estación o tienda.
* Analiza resultados, tendencias operacionales y establece planes de acción proveyendo dirección en las áreas de las oportunidades.
* Mantiene la documentación requerida por la empresa.
* Responsable por las auditorías y cumplimiento con las regulaciones estatales y federales.
* Verifica disponibilidad de los productos y localización de la mercancía en la tienda.
* Establece relaciones con los clientes y la comunidad en que sirve.
* Responsable de todo lo relacionado al departamento de “Food Service”, ventas, gastos, control de calidad, manejo de alimentos, procedimientos de “Serv Safe”, entre otros.
* Responsable de auditar y autorizar los registros de asistencia de su equipo de trabajo, así como notificar y completar la documentación requerida para la aprobación de licencias.
* Responsable de cumplir con todos los procesos relacionados al manejo de combustible, incluyendo pero sin limitarse a: Cumplir con las normas de la Junta de Calidad ambiental / Manejo u control de inventario de gasolina / Asegurarse del buen funcionamiento de equipos / Áreas de seguridad / Survey de precios / Identificar y estar alerta a cualquier cambio o situación que pueda impactar las ventas en su área; entre otros

**Qualifications and Skills**


Bachillerato en Administración de Empresas o su equivalente en Experiencia, por lo menos 3 años.


Dominio de Programas de Computadoras como Microsoft Office


Habilidad para aprender y trabajar con sistemas de informacion


Dominio en Controles de Inventario


Excelentes Destrezas Interpersonales


Experiencia en Supervision y Liderazgo


Habilidad para trabajar multiples tareas

**Beneficios**

* Salario \+ Programa de Incentivo
* Estipendio para gasolina
* Plan Médico
* Seguro de Vida
* Licencia de Vacaciones/Enfermedad
* Programa de Consumo de Alimentos
* Programa de Adiestramiento
* Oportunidades de Crecimiento",,,,"['office', 'microsoft office', 'safe']","['liderazgo', 'lider']"
261,indeed,,,Outlet Server,"Thank you for your interest in the server position. While we may not be actively filling this specific role right now, we at Wyndham Grand Rio Mar are always eager to connect with talented individuals who share our passion for hospitality. By applying, you'll join our exclusive talent network, ensuring you're among the first to be considered when the right opportunity arises within our team. We believe in building lasting relationships and look forward to learning more about how your skills and aspirations align with our future needs. Together, let’s create unforgettable experiences and build a career you’ll be proud of.

**Job Summary**


The Outlet Server is responsible for providing the highest quality of service to guests in an attentive, courteous, and efficient manner. He/she is also responsible for receiving and delivering guests orders and collecting payment.

**Education \& Experience**

* High School diploma or equivalent and/or experience in a hotel or a related field preferred.

**Physical Requirements**

* Flexible and long hours sometimes required.
* Medium work\-Exerting up to 50 pounds of force occasionally, and/or 20 pounds of force frequently or constantly to lift, carry, push, pull or otherwise move objects.
* Ability to stand during entire shift.
* Must be able to maneuver throughout the dining area while carrying full trays of food \& beverages.",,secundario,,,['flexible']
430,bumeran,Analista Impuestos SR,"Todo lo que te mueve, en un solo lugar Car One es una compañía referente en la industria automotriz con más de 27 años de trayectoria, que ofrece un universo integral de soluciones de movilidad. En cuanto a la comercialización de vehículos, pone a disposición de sus clientes la mayor selección de Usados Garantizados y una gama diversificada de autos 0 KM de más de 10 marcas líderes, entre ellas, Chevrolet, Fiat, Peugeot, Renault y Volkswagen, a las que recientemente se sumaron Great Wall Motors, Mitsubishi, además de Jeep y Ram del Grupo Stellantis. A su vez, Car One ofrece soluciones para cada punto de contacto en el vínculo entre las personas y sus vehículos: financiación, planes de ahorro, servicios de postventa con talleres oficiales y propios, repuestos y accesorios originales, gomería, agente de seguros, escribanía propia, instalación de Telepase para autopistas, y alquiler de flotas corporativas y autos particulares, entre muchísimas soluciones más. Como ves, somos una empresa en constante movimiento con la misión de ayudar a las personas a moverse de manera cada vez más confiable y sostenible. Si te gusta trabajar con foco en el cliente, integridad y profesionalismo y si además tenés un espíritu emprendedor y colaborativo ¡entonces compartimos los mismos valores!  Sumate a este viaje de evolución y crecimiento continuo... ¡Sumate a Car One!  Descripción del puesto: Analista Impuestos SR¡Únete a nuestro equipo en Car One en Tortuguitas, Buenos Aires, Argentina! Estamos en busca de un Analista Impuestos Senior para sumarse a nuestro equipo en el área de Administración, Contabilidad y Finanzas.En Car One, nos dedicamos a ofrecer soluciones de movilidad completas y brindar un servicio integral a nuestros clientes.Como Analista Impuestos Senior, serás responsable de llevar a cabo el seguimiento diario de la agenda de vencimientos, la liquidación de impuestos a nivel nacional, provincial y municipal, de acuerdo con la normativa vigente y los procedimientos establecidos por el supervisor. Además, deberás informar anticipadamente a Finanzas sobre los impuestos a pagar para la previsión de caja correspondiente, confeccionar las órdenes de pago en el sistema y generar los volantes electrónicos de pago. También serás responsable del archivo de las declaraciones juradas y sus comprobantes de pago.En Car One, buscamos a alguien proactivo, organizado y con atención al detalle, que pueda trabajar de forma autónoma y en equipo. Si te apasiona el mundo de los impuestos y buscas un ambiente dinámico y desafiante, ¡esta oportunidad es para ti! Únete a nuestro equipo y sé parte de nuestro crecimiento continuo y evolución. ¡Sumate a Car One! Requisitos: paquete office aplicativos ARCA web organismos nacionales, provinciales y municipales Beneficios ️‍️ Descuento en Sport Club 50% en mano de obra todos los talleres15% en Repuestos12 cuotas S/Interés Bridgestone/Firestone 30% Seguros de la CajaDescuentos en Bimbo 15% Planes Adjudicados30% Off Malcriado (Shopping Tom)Descuentos en SamsungDía de cumpleaños",,,5.0,,,['office'],"['líder', 'proactivo', 'atención al detalle']"
